Event,mass_1,mass_2,chi_eff,chi_p,SNR,Mean,Normalized Mean,Fraction,J-S Distance
GW191129_134029,$12.29_-2.26^+4.87$,$7.80_-1.94^+1.67$,$0.06_-0.08^+0.16$,$0.26_-0.19^+0.36$,13.1,1.21,0.09,0.91,0.02
GW191204_110529,$36.20_-5.66^+15.49$,$26.21_-7.54^+5.17$,$0.05_-0.27^+0.26$,$0.52_-0.39^+0.38$,8.8,1.76,0.2,0.67,0.02
GW191204_171526,$13.44_-1.98^+3.77$,$9.29_-1.84^+1.54$,$0.16_-0.05^+0.08$,$0.39_-0.26^+0.35$,17.5,1.62,0.09,0.75,0.03
GW191215_223052,$33.48_-4.68^+9.29$,$24.46_-5.17^+4.07$,$-0.04_-0.21^+0.17$,$0.50_-0.38^+0.37$,11.2,1.08,0.1,0.94,0.01
GW191216_213338,$12.95_-2.38^+4.92$,$8.23_-1.99^+1.73$,$0.11_-0.06^+0.13$,$0.23_-0.16^+0.35$,18.6,2.27,0.12,0.5,0.04
GW191219_163120,$34.73_-2.68^+2.27$,$1.30_-0.05^+0.08$,$-0.00_-0.09^+0.07$,$0.09_-0.07^+0.07$,9.1,2.51,0.28,0.35,0.09
GW191222_033537,$67.15_-9.54^+14.73$,$52.41_-15.40^+10.67$,$-0.04_-0.25^+0.20$,$0.41_-0.32^+0.41$,12.5,1.97,0.16,0.62,0.01
GW191230_180458,$82.70_-13.10^+19.46$,$62.85_-21.42^+13.88$,$-0.05_-0.31^+0.26$,$0.52_-0.39^+0.38$,10.4,1.26,0.12,0.85,0.01
GW200105_162426,$9.57_-1.82^+1.85$,$2.02_-0.25^+0.35$,$0.00_-0.18^+0.13$,$0.09_-0.07^+0.17$,13.7,1.77,0.13,0.69,0.11
GW200112_155838,$44.01_-5.16^+8.22$,$35.18_-7.42^+5.11$,$0.06_-0.15^+0.15$,$0.39_-0.30^+0.39$,19.8,2.07,0.1,0.56,0.04
GW200115_042309,$6.30_-2.69^+2.15$,$1.53_-0.30^+0.91$,$-0.15_-0.42^+0.24$,$0.20_-0.16^+0.34$,11.3,1.54,0.14,0.74,0.07
GW200128_022011,$65.05_-9.41^+15.99$,$51.16_-13.35^+10.32$,$0.12_-0.25^+0.24$,$0.57_-0.40^+0.34$,10.6,2.1,0.2,0.58,0.06
GW200129_065458,$40.25_-3.33^+12.23$,$34.06_-10.82^+3.32$,$0.11_-0.16^+0.11$,$0.52_-0.37^+0.42$,26.8,2.81,0.1,0.36,0.29
GW200202_154313,$11.02_-1.51^+3.83$,$7.99_-1.85^+1.21$,$0.04_-0.06^+0.13$,$0.28_-0.22^+0.40$,10.8,1.69,0.16,0.77,0.02
GW200208_130117,$52.95_-8.40^+12.23$,$38.51_-11.18^+8.64$,$-0.07_-0.27^+0.22$,$0.38_-0.29^+0.41$,10.8,1.32,0.12,0.82,0.01
GW200208_222617,$83.38_-48.68^+171.77$,$21.91_-11.81^+13.04$,$0.45_-0.44^+0.43$,$0.41_-0.30^+0.37$,7.4,1.88,0.25,0.61,0.12
GW200209_085452,$55.70_-9.88^+14.96$,$42.95_-13.60^+11.00$,$-0.12_-0.30^+0.24$,$0.51_-0.37^+0.39$,9.6,1.39,0.15,0.8,0.01
GW200210_092254,$28.68_-5.24^+8.45$,$3.38_-0.52^+0.52$,$0.02_-0.21^+0.22$,$0.15_-0.12^+0.22$,8.4,1.28,0.15,0.84,0.04
GW200216_220804,$84.36_-21.07^+28.39$,$50.74_-30.85^+22.50$,$0.10_-0.36^+0.34$,$0.45_-0.35^+0.42$,8.1,1.82,0.22,0.65,0.0
GW200219_094415,$58.57_-8.95^+13.46$,$44.41_-14.14^+9.26$,$-0.08_-0.29^+0.23$,$0.48_-0.35^+0.40$,10.7,1.58,0.15,0.72,0.01
GW200220_061928,$165.56_-27.93^+62.24$,$120.51_-55.27^+29.47$,$0.06_-0.38^+0.40$,$0.50_-0.37^+0.37$,7.2,1.57,0.22,0.73,0.02
GW200220_124850,$64.13_-10.34^+16.51$,$46.89_-16.61^+11.54$,$-0.07_-0.33^+0.27$,$0.49_-0.37^+0.39$,8.5,1.72,0.2,0.69,0.0
GW200224_222234,$52.30_-5.37^+9.08$,$42.82_-9.89^+5.83$,$0.10_-0.15^+0.15$,$0.49_-0.36^+0.37$,20,2.6,0.13,0.44,0.01
GW200225_060421,$23.58_-3.25^+5.65$,$17.20_-4.55^+3.05$,$-0.12_-0.28^+0.17$,$0.53_-0.38^+0.34$,12.5,1.47,0.12,0.8,0.01
GW200302_015811,$48.45_-9.58^+10.33$,$25.50_-7.63^+12.02$,$0.01_-0.26^+0.25$,$0.37_-0.28^+0.45$,10.8,2.52,0.23,0.42,0.04
GW200306_093714,$39.52_-10.80^+21.47$,$20.98_-9.91^+8.86$,$0.32_-0.46^+0.28$,$0.43_-0.31^+0.39$,7.8,1.75,0.22,0.7,0.01
GW200308_173609,$143.98_-85.60^+299.28$,$52.82_-33.18^+83.32$,$0.16_-0.49^+0.58$,$0.41_-0.30^+0.42$,7.1,1.17,0.16,0.87,0.04
GW200311_115853,$41.83_-4.59^+8.21$,$34.00_-7.26^+4.68$,$-0.02_-0.20^+0.16$,$0.45_-0.35^+0.40$,17.8,1.68,0.09,0.71,0.02
GW200316_215756,$15.98_-3.33^+12.23$,$9.52_-3.49^+2.32$,$0.13_-0.10^+0.27$,$0.29_-0.20^+0.38$,10.3,1.07,0.1,0.9,0.06
GW200322_091133,$105.87_-84.00^+392.13$,$26.23_-18.59^+58.87$,$0.08_-0.47^+0.51$,$0.50_-0.41^+0.36$,6,0.99,0.17,0.9,0.04
